position,token,surprisal_bits,category
0,R,nan,true_boilerplate
1,etro,18.589170455932617,clinical_entity
2,ph,8.048421859741211,medical_vocabulary
3,ary,2.9236753107397817e-05,medical_vocabulary
4,nge,0.0002189173101214692,medical_vocabulary
5,al,8.168944623321295e-05,true_boilerplate
6, Ha,21.36285972595215,medical_vocabulary
7,emat,3.22890305519104,clinical_entity
8,oma,5.675416105077602e-06,medical_vocabulary
9, —,12.528160095214844,medical_vocabulary
10, An,5.0140557289123535,true_boilerplate
11, Un,2.0978310108184814,medical_vocabulary
12,usual,1.4587368965148926,medical_vocabulary
13, Ble,12.829015731811523,medical_vocabulary
14,eding,0.00150681275408715,medical_vocabulary
15, Site,5.354528903961182,true_boilerplate
16, in,0.7857391238212585,true_boilerplate
17, an,2.873206377029419,true_boilerplate
18, Ant,8.040121078491211,medical_vocabulary
19,ico,0.00773307541385293,medical_vocabulary
20,ag,1.0490903150639497e-05,medical_vocabulary
21,ulated,0.034702595323324203,medical_vocabulary
22, Patient,0.05673329159617424,medical_vocabulary
23,:,3.820788860321045,true_boilerplate
24, A,0.27065420150756836,true_boilerplate
25, Case,0.0070363376289606094,true_boilerplate
26, Report,0.010163204744458199,true_boilerplate
27,"

",0.5037501454353333,true_boilerplate
28,Se,11.866052627563477,medical_vocabulary
29,ema,19.668336868286133,medical_vocabulary
30, Sr,9.965677261352539,medical_vocabulary
31,iv,0.012565549463033676,medical_vocabulary
32,ast,0.0019850332755595446,medical_vocabulary
33,ava,0.018980151042342186,medical_vocabulary
34, and,5.64693021774292,true_boilerplate
35, Tar,8.75778865814209,medical_vocabulary
36,un,0.13987605273723602,medical_vocabulary
37, Sol,11.677767753601074,medical_vocabulary
38,ank,0.03483455255627632,medical_vocabulary
39,i,0.0009287512511946261,true_boilerplate
40,"
",4.739163398742676,true_boilerplate
41,Ta,17.203447341918945,medical_vocabulary
42,un,0.555229663848877,medical_vocabulary
43,ton,0.0030475789681077003,medical_vocabulary
44, and,2.552415370941162,true_boilerplate
45, Somerset,0.009890279732644558,medical_vocabulary
46, Foundation,8.997310638427734,medical_vocabulary
47, Trust,0.04064089432358742,true_boilerplate
48,",",0.08255254477262497,true_boilerplate
49, Mus,17.412593841552734,medical_vocabulary
50,gro,0.24723957479000092,medical_vocabulary
51,ve,5.331452484824695e-06,medical_vocabulary
52, Park,4.402688500704244e-05,true_boilerplate
53, Hospital,0.0017576235113665462,true_boilerplate
54,",",0.023649122565984726,true_boilerplate
55, Ta,0.4266241192817688,medical_vocabulary
56,un,-0.0,medical_vocabulary
57,ton,1.2038780141665484e-06,medical_vocabulary
58,",",0.044882673770189285,true_boilerplate
59, Somerset,4.52380895614624,medical_vocabulary
60,",",0.10556359589099884,true_boilerplate
61, UK,0.3592711389064789,true_boilerplate
62,"
",2.6085479259490967,true_boilerplate
63,Published,8.586185455322266,true_boilerplate
64, ,5.247721195220947,true_boilerplate
65,2,0.9398847222328186,numeric
66, November,11.578595161437988,true_boilerplate
67, ,0.005465732887387276,true_boilerplate
68,2,0.0005125891766510904,numeric
69,0,1.3414583918347489e-05,numeric
70,0,6.115058898925781,numeric
71,8,2.249748945236206,numeric
72,"

",1.122484564781189,true_boilerplate
73,Background,5.034607887268066,medical_vocabulary
74,"

",5.560226917266846,true_boilerplate
75,Or,9.669197082519531,true_boilerplate
76,al,0.011433896608650684,true_boilerplate
77, ant,0.11699827015399933,medical_vocabulary
78,ico,6.879304237372708e-07,medical_vocabulary
79,ag,8.599129728281696e-07,medical_vocabulary
80,ulation,1.4758085012435913,clinical_entity
81, is,0.5855890512466431,true_boilerplate
82, commonly,1.6652476787567139,medical_vocabulary
83, used,0.12460648268461227,true_boilerplate
84, in,0.3762936592102051,true_boilerplate
85, patients,0.930679202079773,medical_vocabulary
86, with,0.10747650265693665,true_boilerplate
87, atr,0.46681082248687744,medical_vocabulary
88,ial,0.00044571017497219145,medical_vocabulary
89, fibr,0.01034011784940958,clinical_entity
90,illation,3.044060940737836e-05,clinical_entity
91, for,7.986923694610596,true_boilerplate
92, the,1.1902062892913818,true_boilerplate
93, prevention,0.03769909217953682,medical_vocabulary
94, of,0.006305702030658722,true_boilerplate
95, emb,4.602919578552246,medical_vocabulary
96,olic,0.46592405438423157,medical_vocabulary
97, complications,4.128137111663818,medical_vocabulary
98,.,0.16250181198120117,true_boilerplate
99, Ble,4.691855430603027,medical_vocabulary
100,eding,2.35614315897692e-05,medical_vocabulary
101, is,0.6546781063079834,true_boilerplate
102, the,2.754793882369995,true_boilerplate
103, most,0.5952330827713013,true_boilerplate
104, common,0.2761758267879486,true_boilerplate
105, complication,0.4183582365512848,medical_vocabulary
106, of,0.5976113677024841,true_boilerplate
107, this,5.627302169799805,true_boilerplate
108, treatment,1.4635207653045654,true_boilerplate
109,.,0.5805767178535461,true_boilerplate
110, One,8.26533031463623,true_boilerplate
111, study,11.534890174865723,true_boilerplate
112, following,14.067924499511719,true_boilerplate
113, ,0.4907549321651459,true_boilerplate
114,3,2.9552924633026123,numeric
115,9,4.904069900512695,numeric
116,5,3.7471535205841064,numeric
117,8,4.351055145263672,numeric
118, patients,0.04990736022591591,medical_vocabulary
119, on,1.2147789001464844,true_boilerplate
120, war,2.2666423320770264,true_boilerplate
121,far,5.8473983699514065e-06,true_boilerplate
122,in,7.051271495583933e-06,true_boilerplate
123, reported,2.2586779594421387,true_boilerplate
124, an,3.2946619987487793,true_boilerplate
125, incidence,0.8719834089279175,medical_vocabulary
126, of,0.021091634407639503,true_boilerplate
127, bleeding,3.5703213214874268,medical_vocabulary
128, requiring,8.247907638549805,medical_vocabulary
129, hospital,0.7422162294387817,true_boilerplate
130,ization,1.4372915029525757,medical_vocabulary
131, of,0.6627574563026428,true_boilerplate
132, ,0.20812717080116272,true_boilerplate
133,2,2.95591402053833,numeric
134,.,0.2843121290206909,true_boilerplate
135,6,3.0726797580718994,numeric
136, per,3.556091785430908,true_boilerplate
137, ,0.08613913506269455,true_boilerplate
138,1,4.075931428815238e-05,numeric
139,0,0.00017695929273031652,numeric
140,0,4.3510954128578305e-05,numeric
141, patient,0.46739667654037476,medical_vocabulary
142, years,1.0667959451675415,true_boilerplate
143,.,0.2854212522506714,true_boilerplate
144, Although,4.2616424560546875,true_boilerplate
145, the,1.706325888633728,true_boilerplate
146, retro,6.609437465667725,clinical_entity
147,ph,1.4102507520874497e-05,medical_vocabulary
148,ary,1.5994297427823767e-05,medical_vocabulary
149,nge,6.879289685457479e-06,medical_vocabulary
150,al,-0.0,true_boilerplate
151, space,0.04639098793268204,true_boilerplate
152, is,0.03555155545473099,true_boilerplate
153, an,3.292647123336792,true_boilerplate
154, uncommon,0.8292352557182312,medical_vocabulary
155, site,0.19757698476314545,true_boilerplate
156, for,1.096177339553833,true_boilerplate
157, bleeding,2.601649045944214,medical_vocabulary
158, complications,11.408225059509277,medical_vocabulary
159,",",0.06451170891523361,true_boilerplate
160, a,4.771700859069824,true_boilerplate
161, ha,3.7805349826812744,medical_vocabulary
162,emat,0.0045911590568721294,clinical_entity
163,oma,2.5797373837121995e-06,medical_vocabulary
164, here,4.2829270362854,true_boilerplate
165, can,1.0136611461639404,true_boilerplate
166, expand,13.270559310913086,medical_vocabulary
167, almost,15.339016914367676,true_boilerplate
168, unrestricted,8.297720909118652,medical_vocabulary
169,ly,0.9605468511581421,medical_vocabulary
170, and,1.7372936010360718,true_boilerplate
171, rapidly,6.200440406799316,medical_vocabulary
172, lead,4.452625751495361,true_boilerplate
173, to,0.00017076866060961038,true_boilerplate
174, upper,6.308722019195557,medical_vocabulary
175, air,0.0011968465987592936,true_boilerplate
176,way,0.000126229744637385,true_boilerplate
177, obstruction,0.09092973172664642,medical_vocabulary
178,.,1.0460538864135742,true_boilerplate
179, We,2.788489580154419,true_boilerplate
180, report,1.115627408027649,true_boilerplate
181, the,3.3026416301727295,true_boilerplate
182, case,0.05945536866784096,true_boilerplate
183, of,0.0005896079819649458,true_boilerplate
184, retro,9.930997848510742,clinical_entity
185,ph,8.083161446847953e-06,medical_vocabulary
186,ary,1.0318922250007745e-05,medical_vocabulary
187,nge,1.633825922908727e-05,medical_vocabulary
188,al,1.530637382529676e-05,true_boilerplate
189, ha,0.0024806077126413584,medical_vocabulary
190,emat,0.012441257014870644,clinical_entity
191,oma,3.267666670581093e-06,medical_vocabulary
192, in,0.2316855639219284,true_boilerplate
193, a,0.8352641463279724,true_boilerplate
194, patient,0.3023095428943634,medical_vocabulary
195, on,0.23030604422092438,true_boilerplate
196, war,1.563507318496704,true_boilerplate
197,far,-0.0,true_boilerplate
198,in,0.008996337652206421,true_boilerplate
199,",",2.8028564453125,true_boilerplate
200, as,7.143794059753418,true_boilerplate
201, a,1.327868938446045,true_boilerplate
202, result,6.2670745849609375,true_boilerplate
203, of,0.0005131049547344446,true_boilerplate
204, a,1.4493491649627686,true_boilerplate
205, fall,7.242583751678467,clinical_entity
206,".

",2.1664555072784424,true_boilerplate
207,Case,0.035452719777822495,true_boilerplate
208, Presentation,3.859872341156006,clinical_entity
209,"

",0.0070043327286839485,true_boilerplate
210,An,4.078333854675293,true_boilerplate
211, ,0.12688308954238892,true_boilerplate
212,8,0.007949966937303543,numeric
213,5,3.8279073238372803,numeric
214, years,9.104589462280273,true_boilerplate
215, old,0.04382915422320366,true_boilerplate
216, woman,2.8883461952209473,true_boilerplate
217, was,4.393882751464844,true_boilerplate
218, brought,5.134097099304199,true_boilerplate
219, to,0.3988625407218933,true_boilerplate
220, the,0.2124623954296112,true_boilerplate
221, emergency,1.123219609260559,clinical_entity
222, department,0.01314561441540718,clinical_entity
223, after,1.1479010581970215,true_boilerplate
224, collapsing,9.965069770812988,medical_vocabulary
225, at,2.0125925540924072,true_boilerplate
226, home,0.02284323237836361,true_boilerplate
227, with,6.610284328460693,true_boilerplate
228, breathing,13.433616638183594,clinical_entity
229, difficulties,1.0070252418518066,clinical_entity
230,.,0.2833442986011505,true_boilerplate
231, On,5.646302700042725,true_boilerplate
232, arrival,0.7720855474472046,medical_vocabulary
233, she,2.5535480976104736,true_boilerplate
234, was,0.15206584334373474,true_boilerplate
235, dys,10.703103065490723,medical_vocabulary
236,p,0.00045980833237990737,true_boilerplate
237,no,0.032091982662677765,true_boilerplate
238,e,3.5562407970428467,true_boilerplate
239,ic,9.287033208238427e-06,medical_vocabulary
240, with,2.437162399291992,true_boilerplate
241, oxygen,6.592456817626953,clinical_entity
242, saturation,0.09591833502054214,clinical_entity
243, of,0.11879884451627731,true_boilerplate
244, ,0.0015099052106961608,true_boilerplate
245,7,4.448809623718262,numeric
246,5,2.142047643661499,numeric
247,%,0.7159739136695862,numeric
248, on,0.26916563510894775,true_boilerplate
249, room,0.6148247122764587,true_boilerplate
